Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
66,67,Female,Loyal Customer,43,Personal Travel,Eco,1808,0,4,5,3,4,3,5,4,1,2,4,1,0,0,97,,neutral or dissatisfied
67,68,Male,Loyal Customer,42,Personal Travel,Eco,2786,3,4,5,2,1,0,1,0,4,2,1,5,4,2,72,70.0,neutral or dissatisfied
68,69,Female,disloyal Customer,47,Personal Travel,Eco,2995,0,4,2,4,4,1,5,4,0,1,4,5,1,2,29,48.0,neutral or dissatisfied
69,70,Female,Loyal Customer,28,Business travel,Business,4635,2,1,4,4,2,0,3,1,5,2,2,4,0,1,124,151.0,neutral or dissatisfied
70,71,Female,Loyal Customer,24,Personal Travel,Eco,2876,2,5,0,0,0,0,4,3,3,2,3,1,5,4,209,217.0,neutral or dissatisfied
71,72,Female,disloyal Customer,48,Business travel,Eco,1219,0,3,1,3,0,4,0,2,1,1,1,3,2,0,271,289.0,neutral or dissatisfied
72,73,Male,Loyal Customer,61,Business travel,Eco,3088,1,1,2,3,3,5,1,3,1,2,2,1,2,3,212,,neutral or dissatisfied
73,74,Female,Loyal Customer,27,Business travel,Eco,4359,2,4,1,0,5,2,3,1,0,2,3,3,4,2,132,151.0,neutral or dissatisfied
74,75,Male,disloyal Customer,56,Business travel,Eco,4343,3,5,3,4,0,1,3,1,1,3,5,4,4,0,156,178.0,neutral or dissatisfied
75,76,Female,disloyal Customer,30,Business travel,Eco Plus,294,3,2,5,1,4,3,3,0,3,5,2,0,0,1,46,47.0,neutral or dissatisfied
76,77,Female,Loyal Customer,48,Personal Travel,Business,762,4,0,5,5,2,3,0,4,0,3,5,0,0,2,21,25.0,neutral or dissatisfied
77,78,Female,disloyal Customer,24,Personal Travel,Eco,579,5,4,2,1,1,2,2,4,4,0,4,1,5,2,82,,satisfied
78,79,Male,Loyal Customer,73,Business travel,Eco,4318,5,2,2,4,0,1,5,3,0,3,5,3,4,5,233,246.0,satisfied
79,80,Female,Loyal Customer,66,Personal Travel,Eco,1523,5,3,3,3,1,3,5,2,0,3,2,0,1,1,59,71.0,neutral or dissatisfied
80,81,Male,Loyal Customer,59,Business travel,Eco Plus,2808,3,4,4,1,0,3,4,2,4,0,5,3,2,5,187,187.0,satisfied
81,82,Female,disloyal Customer,59,Personal Travel,Business,3275,4,2,2,2,2,4,2,0,5,2,1,4,5,1,57,79.0,satisfied
82,83,Male,Loyal Customer,73,Personal Travel,Business,3914,5,4,5,2,5,0,5,1,3,2,2,1,0,1,258,259.0,neutral or dissatisfied
83,84,Female,Loyal Customer,53,Business travel,Eco,2114,5,1,1,0,4,3,4,0,5,3,3,3,1,5,161,167.0,satisfied
84,85,Male,Loyal Customer,37,Personal Travel,Eco Plus,3889,0,5,0,4,2,5,4,4,5,0,5,1,4,0,1,29.0,satisfied
85,86,Male,Loyal Customer,21,Business travel,Eco Plus,4905,0,2,1,4,1,1,3,5,5,2,1,3,3,0,270,289.0,neutral or dissatisfied
86,87,Female,Loyal Customer,71,Business travel,Business,2543,0,5,4,1,0,5,1,5,2,4,4,5,0,0,142,153.0,neutral or dissatisfied
87,88,Male,Loyal Customer,24,Personal Travel,Business,1011,1,1,0,3,1,2,3,5,5,1,4,5,5,4,187,214.0,satisfied
88,89,Female,Loyal Customer,71,Business travel,Eco,3313,5,1,1,4,4,4,0,1,2,1,5,3,3,2,223,240.0,neutral or dissatisfied
89,90,Female,Loyal Customer,18,Business travel,Eco,2464,1,5,1,1,2,1,5,0,4,5,4,4,1,0,179,182.0,neutral or dissatisfied
90,91,Female,Loyal Customer,61,Business travel,Eco,3729,4,2,3,1,1,4,4,3,3,1,3,1,2,4,22,22.0,satisfied
91,92,Female,Loyal Customer,73,Personal Travel,Eco Plus,3572,3,5,4,5,1,0,1,4,5,3,2,2,1,2,36,32.0,neutral or dissatisfied
92,93,Female,Loyal Customer,62,Business travel,Eco,780,5,5,5,5,4,3,5,5,1,1,1,3,2,0,106,109.0,satisfied
93,94,Female,Loyal Customer,59,Business travel,Business,4751,3,0,3,4,0,1,4,2,4,1,5,3,1,1,296,293.0,satisfied
94,95,Female,disloyal Customer,64,Personal Travel,Eco,709,0,2,0,1,1,2,4,0,2,4,4,5,0,3,228,238.0,neutral or dissatisfied
95,96,Female,Loyal Customer,30,Personal Travel,Eco Plus,2256,5,0,5,0,4,0,3,4,3,2,2,0,0,0,96,115.0,neutral or dissatisfied
96,97,Female,Loyal Customer,72,Business travel,Eco Plus,3966,2,4,3,0,0,0,1,4,0,4,3,5,5,3,280,298.0,neutral or dissatisfied
97,98,Female,Loyal Customer,39,Business travel,Eco,471,1,5,4,5,5,4,1,2,3,3,4,1,3,0,109,132.0,neutral or dissatisfied
98,99,Female,Loyal Customer,71,Business travel,Eco,715,1,4,2,4,0,0,5,2,3,1,4,5,1,1,36,56.0,neutral or dissatisfied
99,100,Male,Loyal Customer,38,Business travel,Business,2353,5,2,2,3,5,1,4,2,5,2,1,2,1,3,39,68.0,satisfied
100,101,Male,Loyal Customer,39,Business travel,Eco,4238,0,5,0,0,2,4,1,5,5,5,3,4,3,4,84,101.0,satisfied
101,102,Female,Loyal Customer,45,Personal Travel,Business,964,1,4,2,0,4,0,1,5,2,5,3,2,4,1,187,185.0,neutral or dissatisfied
102,103,Female,Loyal Customer,26,Personal Travel,Eco Plus,1368,0,3,3,5,0,2,5,0,2,1,5,4,5,3,239,247.0,neutral or dissatisfied
103,104,Female,Loyal Customer,43,Personal Travel,Business,884,4,1,0,5,5,5,3,2,5,1,1,2,1,3,18,19.0,satisfied
104,105,Female,Loyal Customer,26,Business travel,Business,4671,3,5,5,4,5,1,2,3,5,5,5,5,5,5,260,262.0,satisfied
105,106,Female,Loyal Customer,32,Personal Travel,Eco Plus,4278,2,1,4,5,2,2,0,4,1,5,1,2,1,5,157,170.0,neutral or dissatisfied
106,107,Female,Loyal Customer,27,Business travel,Business,2337,3,0,0,2,3,2,2,2,1,3,3,5,1,1,111,107.0,neutral or dissatisfied
107,108,Female,Loyal Customer,41,Personal Travel,Eco Plus,4154,3,4,5,1,4,4,1,4,4,1,1,5,4,1,143,138.0,neutral or dissatisfied
108,109,Female,Loyal Customer,74,Personal Travel,Eco,4995,4,0,0,0,3,3,4,1,5,5,1,1,0,1,255,262.0,neutral or dissatisfied
109,110,Male,Loyal Customer,59,Business travel,Business,1035,1,5,1,2,0,4,0,1,0,0,1,5,5,2,17,35.0,neutral or dissatisfied
110,111,Female,Loyal Customer,25,Personal Travel,Eco,4080,2,1,1,3,4,1,0,2,1,5,2,0,3,4,183,209.0,neutral or dissatisfied
111,112,Male,disloyal Customer,41,Business travel,Eco Plus,2438,1,1,0,2,2,1,4,4,2,2,2,2,5,0,286,310.0,neutral or dissatisfied
112,113,Female,Loyal Customer,33,Personal Travel,Eco,425,5,4,2,4,0,4,0,1,3,2,3,3,4,5,130,130.0,neutral or dissatisfied
113,114,Female,Loyal Customer,66,Business travel,Business,1634,3,5,1,3,4,3,4,2,4,0,1,3,2,3,280,307.0,satisfied
114,115,Male,disloyal Customer,43,Business travel,Business,3580,5,3,4,3,4,4,0,4,1,3,3,3,2,5,244,261.0,satisfied
115,116,Female,disloyal Customer,44,Personal Travel,Business,3961,0,3,5,5,3,1,5,2,3,1,2,0,4,0,7,11.0,neutral or dissatisfied
116,117,Male,Loyal Customer,54,Business travel,Business,2085,3,4,3,2,0,3,5,5,3,1,1,5,4,1,192,,satisfied
117,118,Female,Loyal Customer,21,Personal Travel,Business,4703,1,5,1,4,2,1,2,4,1,5,5,2,0,5,6,23.0,satisfied
118,119,Female,disloyal Customer,67,Business travel,Eco,2878,3,4,0,0,2,3,0,1,0,2,2,4,5,4,135,,neutral or dissatisfied
119,120,Male,disloyal Customer,41,Personal Travel,Eco,1370,0,5,2,5,0,3,3,2,0,3,2,4,5,4,18,20.0,neutral or dissatisfied
120,121,Female,Loyal Customer,36,Personal Travel,Eco,740,4,0,3,2,0,4,4,1,4,3,2,1,2,2,138,135.0,satisfied
121,122,Male,Loyal Customer,53,Business travel,Eco,4803,5,4,5,0,5,4,0,2,0,3,1,0,3,5,176,184.0,neutral or dissatisfied
122,123,Female,Loyal Customer,56,Business travel,Business,4178,5,5,5,2,1,4,5,0,4,5,4,2,5,1,10,21.0,satisfied
123,124,Male,Loyal Customer,27,Business travel,Business,4761,1,3,1,5,3,3,5,1,2,1,5,5,1,3,40,68.0,satisfied
124,125,Male,Loyal Customer,42,Business travel,Business,1467,3,5,5,0,0,3,4,1,1,3,5,3,1,2,113,113.0,satisfied
125,126,Female,Loyal Customer,35,Business travel,Business,4142,1,5,5,5,0,1,3,3,3,5,3,0,0,1,179,,neutral or dissatisfied
126,127,Female,Loyal Customer,36,Personal Travel,Eco Plus,2675,4,4,2,2,1,2,0,5,4,5,1,0,0,2,193,216.0,neutral or dissatisfied
127,128,Male,disloyal Customer,53,Personal Travel,Eco Plus,3703,3,0,2,3,1,4,0,1,0,0,2,2,2,5,195,,neutral or dissatisfied
128,129,Female,Loyal Customer,27,Personal Travel,Business,1681,3,0,2,1,4,5,3,4,4,4,4,5,3,0,224,236.0,satisfied
129,130,Female,Loyal Customer,50,Personal Travel,Business,2086,1,0,0,3,2,1,3,2,5,3,1,1,3,5,260,284.0,satisfied
130,131,Female,disloyal Customer,72,Personal Travel,Eco,2340,1,0,5,5,3,1,3,0,4,4,1,5,4,1,115,124.0,neutral or dissatisfied
131,132,Male,disloyal Customer,67,Personal Travel,Eco,4066,0,2,5,5,4,0,5,4,0,1,4,1,0,3,149,158.0,neutral or dissatisfied
132,133,Male,Loyal Customer,22,Business travel,Business,2205,4,4,5,5,0,4,4,4,5,5,2,1,5,3,117,127.0,satisfied
133,134,Male,Loyal Customer,64,Personal Travel,Eco,228,0,1,4,0,1,1,3,4,5,3,1,3,1,1,164,191.0,neutral or dissatisfied
134,135,Male,Loyal Customer,66,Personal Travel,Eco,4901,5,4,2,4,5,0,4,4,0,2,5,3,5,2,251,,neutral or dissatisfied
135,136,Male,Loyal Customer,52,Business travel,Business,4096,3,2,3,5,2,5,2,0,5,1,5,2,1,4,266,279.0,satisfied
136,137,Male,Loyal Customer,61,Business travel,Business,951,1,0,1,3,4,5,0,3,1,0,4,5,2,1,43,40.0,neutral or dissatisfied
137,138,Male,Loyal Customer,51,Business travel,Eco Plus,4203,3,2,3,1,5,4,0,5,3,0,2,1,1,5,180,178.0,satisfied
138,139,Male,Loyal Customer,50,Business travel,Eco,2176,3,3,0,5,2,3,1,1,1,4,4,2,5,3,76,81.0,neutral or dissatisfied
139,140,Male,Loyal Customer,72,Personal Travel,Eco,3094,2,3,0,5,5,0,2,4,1,5,1,1,5,0,115,,neutral or dissatisfied
140,141,Female,Loyal Customer,38,Business travel,Business,3844,5,4,5,5,1,3,3,1,0,4,5,0,3,3,66,88.0,satisfied
141,142,Male,Loyal Customer,34,Business travel,Business,2856,2,4,3,0,4,5,3,1,0,2,3,4,3,4,12,38.0,satisfied
142,143,Female,Loyal Customer,39,Personal Travel,Eco Plus,1744,3,1,5,5,4,5,5,4,3,2,4,4,0,3,91,101.0,satisfied
143,144,Female,Loyal Customer,65,Business travel,Eco Plus,4471,1,1,4,3,2,2,2,3,4,0,3,1,5,4,245,248.0,neutral or dissatisfied
144,145,Female,Loyal Customer,54,Business travel,Business,3244,3,3,0,2,5,2,3,1,1,3,3,2,2,1,266,,neutral or dissatisfied
145,146,Male,disloyal Customer,32,Business travel,Eco,342,5,0,0,4,1,2,1,2,5,0,5,3,1,3,138,,satisfied
146,147,Male,Loyal Customer,52,Personal Travel,Eco,4185,2,2,3,5,0,2,4,1,3,0,4,5,0,2,243,,neutral or dissatisfied
147,148,Male,Loyal Customer,45,Personal Travel,Eco,270,1,1,0,0,4,1,0,5,1,2,3,1,4,5,272,278.0,neutral or dissatisfied
148,149,Male,disloyal Customer,24,Business travel,Eco,752,3,5,4,3,0,2,2,4,4,4,1,1,4,2,190,206.0,satisfied
149,150,Female,Loyal Customer,49,Personal Travel,Eco,3612,4,1,4,5,1,1,0,0,5,2,2,5,1,5,96,111.0,neutral or dissatisfied
150,151,Male,Loyal Customer,28,Business travel,Eco Plus,1599,5,0,4,0,4,1,4,1,1,5,2,3,1,3,204,231.0,neutral or dissatisfied
151,152,Male,Loyal Customer,27,Personal Travel,Eco,2199,5,0,1,2,4,4,2,3,2,2,5,1,1,3,136,147.0,satisfied
152,153,Male,Loyal Customer,26,Personal Travel,Business,2258,4,4,4,1,5,1,4,2,3,2,4,0,3,5,76,99.0,satisfied
153,154,Male,disloyal Customer,31,Personal Travel,Eco,2072,3,2,4,5,0,1,3,2,0,0,4,3,1,0,36,40.0,neutral or dissatisfied
154,155,Male,Loyal Customer,30,Business travel,Business,4025,5,0,1,3,5,2,3,0,1,3,2,0,4,3,285,297.0,satisfied
155,156,Female,Loyal Customer,74,Personal Travel,Eco,2358,1,1,5,0,3,1,3,5,5,0,1,4,1,0,134,141.0,neutral or dissatisfied
156,157,Male,Loyal Customer,42,Personal Travel,Business,4139,3,1,2,0,0,3,4,0,5,1,2,5,5,0,141,162.0,neutral or dissatisfied
157,158,Female,Loyal Customer,19,Business travel,Business,2135,3,3,0,5,0,2,4,5,3,2,2,3,2,5,253,257.0,satisfied
158,159,Male,Loyal Customer,52,Personal Travel,Business,3371,2,0,4,0,3,0,4,1,3,2,4,3,4,0,47,73.0,neutral or dissatisfied
159,160,Female,Loyal Customer,24,Business travel,Business,957,5,5,0,1,1,2,0,4,5,1,3,2,2,0,254,251.0,satisfied
160,161,Male,Loyal Customer,38,Personal Travel,Eco,3923,5,4,3,0,1,1,4,3,5,2,1,2,4,1,133,149.0,satisfied
161,162,Male,disloyal Customer,35,Business travel,Eco,1149,4,2,0,4,4,3,3,2,5,2,4,5,0,2,289,310.0,satisfied
162,163,Female,Loyal Customer,20,Personal Travel,Eco Plus,4090,2,5,5,4,2,2,1,0,1,5,2,3,5,0,207,204.0,neutral or dissatisfied
163,164,Female,Loyal Customer,59,Business travel,Business,398,2,4,1,0,5,3,4,3,5,2,3,4,4,2,100,127.0,satisfied
164,165,Female,Loyal Customer,71,Business travel,Business,1023,5,1,0,5,2,0,1,5,0,1,1,1,5,0,45,,neutral or dissatisfied
165,166,Male,Loyal Customer,56,Business travel,Business,4332,3,5,0,4,4,5,3,4,5,0,5,5,4,2,69,74.0,satisfied
166,167,Female,Loyal Customer,58,Business travel,Business,4406,2,4,0,3,2,0,4,2,0,2,1,5,2,3,135,139.0,neutral or dissatisfied
167,168,Male,Loyal Customer,66,Business travel,Eco,2899,4,1,2,4,0,5,0,2,1,3,1,2,2,3,279,,neutral or dissatisfied
168,169,Male,Loyal Customer,28,Business travel,Business,4975,2,1,2,0,0,4,0,5,3,1,2,4,4,2,66,67.0,satisfied
169,170,Female,Loyal Customer,56,Business travel,Business,4162,4,1,3,5,3,5,1,4,0,4,2,5,4,0,3,12.0,satisfied
170,171,Female,Loyal Customer,41,Business travel,Business,4145,2,1,1,2,3,4,5,2,1,5,5,4,3,1,223,243.0,satisfied
171,172,Male,disloyal Customer,63,Business travel,Business,1902,4,1,0,5,4,2,0,4,5,1,5,5,5,2,0,5.0,satisfied
172,173,Male,Loyal Customer,36,Personal Travel,Eco Plus,2813,2,3,0,5,4,4,0,2,1,0,5,2,5,4,289,310.0,neutral or dissatisfied
173,174,Female,Loyal Customer,21,Business travel,Eco,4606,2,5,0,5,4,3,0,1,5,1,4,1,5,1,108,109.0,neutral or dissatisfied
174,175,Female,Loyal Customer,43,Personal Travel,Business,2953,1,4,0,3,0,4,3,5,1,4,4,2,5,4,264,259.0,satisfied
175,176,Female,disloyal Customer,55,Personal Travel,Business,2757,4,3,2,1,2,3,0,4,3,5,2,5,0,2,62,66.0,satisfied
176,177,Male,Loyal Customer,59,Personal Travel,Business,4622,4,3,5,0,5,5,2,3,0,3,2,4,0,0,265,,neutral or dissatisfied
177,178,Male,Loyal Customer,49,Business travel,Business,3446,4,0,5,1,4,5,4,1,3,4,5,0,1,4,137,146.0,satisfied
178,179,Male,disloyal Customer,56,Personal Travel,Business,1571,0,0,3,2,4,5,0,3,2,1,4,2,4,2,43,67.0,neutral or dissatisfied
179,180,Male,disloyal Customer,62,Business travel,Eco,3049,2,0,4,1,0,4,5,5,5,4,3,4,4,1,261,285.0,satisfied
180,181,Male,disloyal Customer,63,Business travel,Eco,1041,4,2,1,0,5,5,5,2,0,1,4,2,4,0,215,,neutral or dissatisfied
181,182,Male,Loyal Customer,53,Business travel,Eco Plus,2007,5,0,5,0,0,4,0,3,3,3,2,5,4,4,120,138.0,satisfied
182,183,Female,Loyal Customer,57,Personal Travel,Eco Plus,4937,0,4,0,2,5,4,0,1,0,3,4,4,5,2,151,164.0,neutral or dissatisfied
183,184,Male,Loyal Customer,54,Business travel,Eco Plus,1343,1,3,5,0,0,1,2,4,2,0,2,1,5,0,212,209.0,neutral or dissatisfied
184,185,Male,disloyal Customer,50,Business travel,Eco Plus,4523,4,4,3,2,2,1,0,0,4,3,5,4,0,0,233,242.0,neutral or dissatisfied
185,186,Male,Loyal Customer,53,Personal Travel,Eco,1566,4,5,4,2,4,4,0,3,5,2,5,3,2,3,110,,satisfied
186,187,Female,Loyal Customer,20,Personal Travel,Eco,4057,0,0,5,0,1,3,4,0,5,4,5,0,3,0,221,233.0,neutral or dissatisfied
187,188,Male,Loyal Customer,26,Business travel,Business,2066,2,2,3,4,1,2,5,5,1,4,3,5,5,2,225,238.0,satisfied
188,189,Male,disloyal Customer,25,Business travel,Eco Plus,475,5,5,2,2,4,0,2,3,5,1,3,4,5,1,209,233.0,neutral or dissatisfied
